setor,ano,abhar_vw,abhar_ew,n_ativos,bhar_medio,bhar_mediana,bhar_std,p_ttest,p_wilcoxon,tickers_validos,r2_medio,tipo
Utilidade Pública,2014,-0.06998353755637343,-0.04448979905129795,25,-0.04448979905129795,-0.032667896557220244,0.1478390877512066,0.14545675080244416,0.14847958087921143,CBEE3.SA|CLSC4.SA|CASN3.SA|CEEB3.SA|COCE5.SA|CMIG4.SA|SBSP3.SA|SAPR4.SA|BIOM3.SA|CGAS5.SA|CEBR3.SA|CPFE3.SA|EKTR4.SA|EMAE4.SA|ENMT3.SA|ENGI11.SA|EQPA3.SA|ISAE4.SA|GEPA3.SA|AFLT3.SA|GPAR3.SA|ENEV3.SA|EQTL3.SA|LIGT3.SA|TAEE11.SA,0.08687547056838767,Eleitoral
Bens Industriais,2018,-0.027597968341675643,0.018380244558746532,17,0.018380244558746532,-0.045166212058378785,0.2991008075516768,0.8032078128316857,0.2068939208984375,BDLL4.SA|FRAS3.SA|MYPK3.SA|LEVE3.SA|POMO4.SA|RSUL4.SA|MMAQ4.SA|PLAS3.SA|RAPT4.SA|RCSL3.SA|ROMI3.SA|TASA4.SA|WEGE3.SA|WHRL3.SA|WLMM4.SA|LUPA3.SA|FRIO3.SA,0.11537723879937122,Eleitoral
Comunicações,2018,0.012978491616922293,0.026985579694673755,10,0.026985579694673755,0.0175943767320062,0.057234206972891735,0.1701545293656156,0.16015625,DTCY3.SA|OIBR3.SA|PDTC3.SA|TELB4.SA|VIVT3.SA|CBEE3.SA|POSI3.SA|EZTC3.SA|TOTS3.SA|VLID3.SA,0.12608702623903661,Eleitoral
Construção e Transporte,2018,0.060399229657115604,0.04886001683583964,40,0.04886001683583964,0.06700280654414537,0.0867105346586694,0.0009838828993941437,0.0005381573264457984,CALI3.SA|CORR4.SA|CYRE3.SA|ETER3.SA|EUCA4.SA|VSPT3.SA|GFSA3.SA|JFEN3.SA|PTBL3.SA|RSID3.SA|SOND5.SA|AZUL4.SA|LREN3.SA|TEND3.SA|DXCO3.SA|DIRR3.SA|ECOR3.SA|EVEN3.SA|EZTC3.SA|GUAR3.SA|HBOR3.SA|JHSF3.SA|RENT3.SA|RENT3.SA|LOGN3.SA|LPSB3.SA|MILS3.SA|MOVI3.SA|MRVE3.SA|MULT3.SA|PDGR3.SA|RDNI3.SA|ECOR3.SA|SYNE3.SA|TCSA3.SA|TGMA3.SA|TPIS3.SA|TRIS3.SA|UCAS3.SA|VIVR3.SA,0.19863797054116017,Eleitoral
Consumo Cíclico,2018,0.04210323670734248,0.017069845868347828,35,0.017069845868347828,0.0344239750376244,0.09692832549396903,0.3048247046520616,0.10369126504519954,ALPA4.SA|BMKS3.SA|CTSA4.SA|CTSA4.SA|PCAR3.SA|CEDO4.SA|PNVL3.SA|DOHL4.SA|CGRA4.SA|BHIA3.SA|GUAR3.SA|HOOT4.SA|CTKA4.SA|LREN3.SA|ESTR4.SA|MNDL3.SA|PTNT4.SA|RADL3.SA|SLED4.SA|AHEB3.SA|TEKA4.SA|TXRX4.SA|VULC3.SA|AMER3.SA|AZZA3.SA|CVCB3.SA|GSHP3.SA|GRND3.SA|MGLU3.SA|AMAR3.SA|OFSA3.SA|PFRM3.SA|SHOW3.SA|TECN3.SA|VSTE3.SA,0.11889882520426383,Eleitoral
Consumo Não Cíclico,2018,-0.08941940406107769,-0.05298614976594252,15,-0.05298614976594252,-0.05237315185196756,0.09345160662949037,0.04544441440103415,0.03533935546875,APTI4.SA|ODER4.SA|BAUH4.SA|JOPA4.SA|MNPR3.SA|ABEV3.SA|AGRO3.SA|CAML3.SA|CSAN3.SA|MEAL3.SA|MDIA3.SA|BEEF3.SA|NUTR3.SA|SLCE3.SA|SMTO3.SA,0.10986102261890641,Eleitoral
Financeiro,2018,0.010958855794293615,-0.010505689037729393,34,-0.010505689037729393,0.0008359646988410074,0.0820761132177301,0.4607354974626131,0.892620881437324,RPAD5.SA|BMIN4.SA|BPAN4.SA|BBDC4.SA|BAZA3.SA|BBAS3.SA|BGIP4.SA|BPAR3.SA|BRSR6.SA|BNBR3.SA|BMEB4.SA|BMIN4.SA|BEES4.SA|PEAB4.SA|HBTS5.SA|BRGE11.SA|MERC4.SA|CRIV4.SA|FIGE4.SA|ITSA4.SA|MERC4.SA|MERC4.SA|PSSA3.SA|QUAL3.SA|B3SA3.SA|ABCB4.SA|BPAC3.SA|BPAN4.SA|SANB11.SA|BBSE3.SA|PCAR3.SA|IRBR3.SA|ITUB4.SA|QUAL3.SA,0.17462338338316924,Eleitoral
Materiais Básicos,2018,-0.09411958106005586,-0.05803909462622454,31,-0.05803909462622454,-0.025799341752887117,0.14753554890626097,0.036410719260206094,0.014852074906229973,BALM4.SA|BRAP4.SA|BRKM5.SA|FESA4.SA|CSNA3.SA|MSPA4.SA|EALT3.SA|GGBR4.SA|HAGA4.SA|HETA4.SA|RANI3.SA|KEPL3.SA|KLBN11.SA|MGEL4.SA|GOAU3.SA|GOAU3.SA|MTSA4.SA|NORD3.SA|PATI4.SA|PMAM3.SA|SNSY5.SA|SHUL4.SA|SUZB3.SA|TKNO4.SA|CRPG5.SA|TUPY3.SA|UNIP6.SA|USIM5.SA|VALE3.SA|MWET4.SA|FHER3.SA,0.13573252497737734,Eleitoral
"Petróleo, Gás e Biocombustíveis",2018,0.1115634611803232,-0.01490592727512402,4,-0.01490592727512402,0.0005241392732373007,0.16501425872158512,0.8681481252566973,,PETR4.SA|RPMG3.SA|UGPA3.SA|PRIO3.SA,0.22642142332411935,Eleitoral
Saúde,2018,-0.042610952416505775,-0.013572643539291343,8,-0.013572643539291343,0.0008847506718652198,0.08721918451246258,0.6731010860732763,0.9453125,BOBR4.SA|AALR3.SA|BIOM3.SA|DASA3.SA|FLRY3.SA|HYPE3.SA|BPHA3.SA|ODPV3.SA,0.10565461513543442,Eleitoral
Utilidade Pública,2018,0.04565157279678754,0.021386964256036433,29,0.021386964256036433,0.02372820251295793,0.047363547817389544,0.021680690285704896,0.02433420717716217,CBEE3.SA|CLSC4.SA|CASN3.SA|CEEB3.SA|COCE5.SA|CMIG4.SA|SBSP3.SA|SAPR4.SA|BIOM3.SA|CGAS5.SA|CEBR3.SA|CPFE3.SA|EKTR4.SA|EMAE4.SA|ENMT3.SA|ENGI11.SA|EQPA3.SA|ISAE4.SA|GEPA3.SA|AFLT3.SA|ALUP4.SA|GPAR3.SA|CSMG3.SA|CSMG3.SA|ENEV3.SA|EQTL3.SA|LIGT3.SA|RNEW4.SA|TAEE11.SA,0.10170962927043124,Eleitoral
Bens Industriais,2022,0.07294032256507317,0.00715407113468066,19,0.00715407113468066,-0.003258852216804886,0.2137626591409047,0.8856367362730222,0.8287849426269531,BDLL4.SA|FRAS3.SA|INEP3.SA|MYPK3.SA|LEVE3.SA|POMO4.SA|RSUL4.SA|MMAQ4.SA|PLAS3.SA|RAPT4.SA|RCSL3.SA|ROMI3.SA|TASA4.SA|WEGE3.SA|WHRL3.SA|WLMM4.SA|AERI3.SA|LUPA3.SA|FRIO3.SA,0.1917237243489154,Eleitoral
Comunicações,2022,-0.045082674081106354,-0.01200742432953346,22,-0.01200742432953346,-0.048655628449441546,0.17984825644496832,0.7572542472853935,0.18697643280029297,DTCY3.SA|OIBR3.SA|PDTC3.SA|TELB4.SA|VIVT3.SA|BMOB3.SA|CBEE3.SA|ALLD3.SA|DESK3.SA|DOTZ3.SA|INEP3.SA|MLAS3.SA|LWSA3.SA|CASH3.SA|NGRD3.SA|POSI3.SA|EZTC3.SA|TRAD3.SA|TIMS3.SA|TOTS3.SA|FIQE3.SA|VLID3.SA,0.2990815110041714,Eleitoral
Construção e Transporte,2022,-0.01935674475896328,-0.003267928055081521,57,-0.003267928055081521,-0.01078046492933582,0.14680524912171186,0.8671403658397331,0.6824041405639413,CALI3.SA|CORR4.SA|CYRE3.SA|ETER3.SA|EUCA4.SA|VSPT3.SA|GFSA3.SA|JFEN3.SA|PTBL3.SA|RSID3.SA|SOND5.SA|ALPK3.SA|AVLL3.SA|ARML3.SA|AZUL4.SA|LREN3.SA|TEND3.SA|CURY3.SA|DXCO3.SA|DIRR3.SA|ECOR3.SA|EVEN3.SA|EZTC3.SA|GUAR3.SA|HBRE3.SA|HBOR3.SA|HBSA3.SA|JHSF3.SA|SIMH3.SA|LAVV3.SA|RENT3.SA|RENT3.SA|LOGG3.SA|LOGN3.SA|LPSB3.SA|MELK3.SA|MILS3.SA|MTRE3.SA|MDNE3.SA|MOVI3.SA|MRVE3.SA|MULT3.SA|PDGR3.SA|PLPL3.SA|PRNR3.SA|RDNI3.SA|ECOR3.SA|SEQL3.SA|SIMH3.SA|SYNE3.SA|TCSA3.SA|TGMA3.SA|TPIS3.SA|TRIS3.SA|UCAS3.SA|VAMO3.SA|VIVR3.SA,0.38147699103034044,Eleitoral
Consumo Cíclico,2022,0.014083277745142835,-0.02824251824395647,62,-0.02824251824395647,-0.02550440873983617,0.09959091444789904,0.029231978341811102,0.07101712125907524,ALPA4.SA|BMKS3.SA|CAMB3.SA|CTSA4.SA|CTSA4.SA|PCAR3.SA|CEDO4.SA|PNVL3.SA|DOHL4.SA|CGRA4.SA|BHIA3.SA|GUAR3.SA|HOOT4.SA|IGTI11.SA|CTKA4.SA|LREN3.SA|ESTR4.SA|MNDL3.SA|PTNT4.SA|RADL3.SA|SLED4.SA|AHEB3.SA|TEKA4.SA|TXRX4.SA|VULC3.SA|AGXY3.SA|ALLD3.SA|ALOS3.SA|AMER3.SA|AZZA3.SA|ALOS3.SA|CEAB3.SA|EGIE3.SA|VVEO3.SA|CVCB3.SA|DMVF3.SA|PGMN3.SA|ENJU3.SA|GSHP3.SA|GRND3.SA|GMAT3.SA|SBFG3.SA|XPBR31.SA|IFCM3.SA|INTB3.SA|LJQQ3.SA|MGLU3.SA|AMAR3.SA|OFSA3.SA|PETZ3.SA|PFRM3.SA|RAIZ4.SA|ASAI3.SA|SMFT3.SA|AGXY3.SA|SHOW3.SA|TECN3.SA|TFCO4.SA|VSTE3.SA|VBBR3.SA|VIVA3.SA|WEST3.SA,0.29520814970075154,Eleitoral
Consumo Não Cíclico,2022,-0.06566351886484363,-0.01887122570373209,21,-0.01887122570373209,-0.007368065878121555,0.11066338776429938,0.4436859759160874,0.39258384704589844,APTI4.SA|ODER4.SA|BAUH4.SA|FICT3.SA|JOPA4.SA|MNPR3.SA|ABEV3.SA|SOJA3.SA|AGRO3.SA|CAML3.SA|CSAN3.SA|FICT3.SA|MEAL3.SA|JALL3.SA|MDIA3.SA|BEEF3.SA|NUTR3.SA|SLCE3.SA|SMTO3.SA|TTEN3.SA|VITT3.SA,0.1429739635891035,Eleitoral
Financeiro,2022,0.030064046786018515,0.006570611949866424,37,0.006570611949866424,0.012690101895419748,0.15510359025978096,0.7981193238385385,0.9405941720615374,RPAD5.SA|BMIN4.SA|BPAN4.SA|BBDC4.SA|BAZA3.SA|BBAS3.SA|BGIP4.SA|BPAR3.SA|BRSR6.SA|BNBR3.SA|BMEB4.SA|BMIN4.SA|BEES4.SA|PEAB4.SA|HBTS5.SA|BRGE11.SA|MERC4.SA|CRIV4.SA|FIGE4.SA|ITSA4.SA|MERC4.SA|MERC4.SA|PSSA3.SA|QUAL3.SA|B3SA3.SA|ABCB4.SA|BMGB4.SA|BPAC3.SA|BPAN4.SA|SANB11.SA|BBSE3.SA|BRBI11.SA|CXSE3.SA|PCAR3.SA|IRBR3.SA|ITUB4.SA|QUAL3.SA,0.20693339808347555,Eleitoral
Materiais Básicos,2022,0.04511714207246041,-0.014733355686205863,34,-0.014733355686205863,-0.024419140590763777,0.11042588434831338,0.4421213428256908,0.3092015009606257,BALM4.SA|BRAP4.SA|BRKM5.SA|FESA4.SA|CSNA3.SA|MSPA4.SA|EALT3.SA|GGBR4.SA|HAGA4.SA|HETA4.SA|RANI3.SA|KEPL3.SA|KLBN11.SA|MGEL4.SA|GOAU3.SA|GOAU3.SA|MTSA4.SA|NORD3.SA|PATI4.SA|PMAM3.SA|SNSY5.SA|SHUL4.SA|SUZB3.SA|TKNO4.SA|CRPG5.SA|TUPY3.SA|UNIP6.SA|USIM5.SA|VALE3.SA|MWET4.SA|AURA33.SA|CBAV3.SA|CMIN3.SA|FHER3.SA,0.20320716775473227,Eleitoral
"Petróleo, Gás e Biocombustíveis",2022,-0.046809543966053614,-0.02189270150192313,7,-0.02189270150192313,0.00016991259042686835,0.08109700543119751,0.5019070799826013,0.578125,PETR4.SA|RPMG3.SA|UGPA3.SA|BRAV3.SA|OPCT3.SA|RECV3.SA|PRIO3.SA,0.30299232409966287,Eleitoral
Saúde,2022,-0.01676213521651628,-0.029969625386668645,15,-0.029969625386668645,-0.008444056896072416,0.08992510522939023,0.21769553931011734,0.33026123046875,BOBR4.SA|AALR3.SA|EPAR3.SA|BIOM3.SA|BLAU3.SA|DASA3.SA|FLRY3.SA|HAPV3.SA|MATD3.SA|HYPE3.SA|BPHA3.SA|ESPA3.SA|ODPV3.SA|ONCO3.SA|RDOR3.SA,0.2334477108792184,Eleitoral
Utilidade Pública,2022,-0.024437824170887818,-0.020534151163700082,36,-0.020534151163700082,-0.026637199519054633,0.07081462844144991,0.09067827863309182,0.05156775642535649,CBEE3.SA|CLSC4.SA|CASN3.SA|CEEB3.SA|COCE5.SA|CMIG4.SA|SBSP3.SA|SAPR4.SA|BIOM3.SA|CGAS5.SA|CEBR3.SA|CPFE3.SA|EKTR4.SA|EMAE4.SA|ENMT3.SA|ENGI11.SA|EGIE3.SA|EQPA3.SA|ISAE4.SA|NEOE3.SA|REDE3.SA|GEPA3.SA|AFLT3.SA|ALUP4.SA|AMBP3.SA|GPAR3.SA|CSMG3.SA|CSMG3.SA|ENEV3.SA|EQTL3.SA|LIGT3.SA|ORVR3.SA|RNEW4.SA|REDE3.SA|TAEE11.SA|EGIE3.SA,0.15808657725890132,Eleitoral
